Ano-calendário;Valor da Receita Tributária;Percentual do PIB
2002;1847202.44315246;0.02697267497826087
2003;2078731.34964272;0.02630449147826087
2004;2435724.3414467997;0.027046607282608697
2005;2813928.24106637;0.028182433913043477
2006;3096850.1964245;0.027941161043478262
2007;3545352.1230333;0.02833287597826087
2008;4041493.8382641003;0.02825213115217391
2009;4136344.269563;0.026978537826086956
2010;4874135.2704008;0.027268047978260868
2011;5654772.9573834;0.028089377695652177
2012;6061151.4895232;0.02736671558695652
2013;6701067.4192491;0.027322916652173915
2014;7100312.57579481;0.026709789652173913
2015;7430606.9657364;0.026941405152173914
2016;7817288.85058936;0.027106742282608697
2017;8213246.8299226;0.02711250684782609
2018;8808548.15561783;0.027339566604347828
2019;9284056.47834238;0.02731407986586957
2020;9064303.60015304;0.025894942782608697
2021;11323235.51684899;0.027662079426086957
