soma;média
14366;47.101639344262296
4183;11.917378917378917
3917;16.66808510638298
7663;25.207236842105264
807;3.71889400921659
2951;12.347280334728033
1581;7.75
2181;2.578014184397163
9912;38.12307692307692
9323;28.953416149068325
863;4.9314285714285715
86591;160.65120593692023
668478;924.5892116182573
82324;162.69565217391303
1882240;2129.230769230769
123803;217.96302816901408
458576;701.1865443425077
118163;179.85235920852358
33273;73.77605321507761
5102;26.852631578947367
10;0.8333333333333334
424460;655.0308641975308
99353;158.7108626198083
6784;43.48717948717949
334703;513.3481595092024
5777;9.2432
72;1.125
158582;218.73379310344828
3345;13.99581589958159
21921;44.46450304259635
2525;10.433884297520661
13055;35.572207084468666
2373;9.646341463414634
1623;8.196969696969697
114096;168.7810650887574
1467;7.92972972972973
5112;16.280254777070063
187559;257.635989010989
7488;23.04
45917;82.58453237410072
5945;20.08445945945946
35983;86.49759615384616
129447;201.31726283048212
1210;6.05
2037;8.668085106382978
1928;9.09433962264151
12083;34.03661971830986
4959;3.514528703047484
19833;43.209150326797385
182463;344.92060491493385
130239;219.9983108108108
5457;17.43450479233227
8343;21.558139534883722
24163;54.17713004484305
18049;45.34924623115578
50359;86.82586206896552
2250;12.711864406779661
14928;48.15483870967742
3963;10.37434554973822
15649;36.05760368663594
46935;103.38105726872247
9832;29.437125748502993
108;1.0
13488;99.17647058823529
541;3.7832167832167833
1460;13.272727272727273
687;9.41095890410959
4035;16.604938271604937
3900;47.5609756097561
1742;17.595959595959595
9677;5.75669244497323
608;9.074626865671641
1631;11.567375886524824
8834;24.745098039215687
1520;19.0
731;10.442857142857143
42542;99.86384976525821
2447;14.740963855421686
3384;18.291891891891893
4957;17.895306859205775
3186;17.89887640449438
2635;25.095238095238095
26063;69.68716577540107
42341;104.54567901234567
2404;17.940298507462686
2567;11.995327102803738
9016;6.463082437275986
731;5.111888111888112
19808;57.74927113702624
676;9.135135135135135
3049;17.830409356725145
1869;10.157608695652174
13130;39.78787878787879
